full_name,role,location,date_of_birth,salary
Aadhya Patel,Sales Manager,Ahmedabad,1991-04-03,1332478.37
Isha Chowdhury,Credit Officer,Pune,1995-09-21,1491158.23
Sakshi Malhotra,Relationship Manager,Ahmedabad,1993-08-05,1448927.95
Krishna Malhotra,Business Analyst,Pune,1984-12-20,519865.26
Aadhya Saxena,Marketing Manager,Lucknow,1986-03-31,1922205.04
Shaurya Joshi,Financial Analyst,Delhi,1977-05-28,1085205.18
Sara Sharma,QA Engineer,Delhi,1989-12-26,660681.91
Prisha Mehta,Marketing Manager,Bengaluru,1976-11-01,1149019.58
Aadhya Chowdhury,Customer Support,Mumbai,1977-06-18,370315.98
Sai Gupta,Credit Officer,Hyderabad,1976-09-21,309717.04
Vihaan Chowdhury,HR Manager,Kolkata,1996-12-31,1201969.11
Sai Sharma,Business Analyst,Ahmedabad,1975-03-02,1129637.9
Ishaan Patel,Security Engineer,Hyderabad,1977-08-20,1703783.22
Prisha Banerjee,Security Engineer,Hyderabad,1982-02-25,759800.28
Isha Desai,Treasury Analyst,Chennai,1983-11-05,467884.86
Ananya Singh,HR Manager,Ahmedabad,1994-07-14,1074426
Ananya Reddy,Relationship Manager,Ahmedabad,1980-10-27,1876390.13
Prisha Saxena,DevOps Engineer,Bengaluru,1977-05-17,526736.68
Vivaan Reddy,Compliance Officer,Chennai,1975-11-20,480639.52
Isha Chowdhury,Relationship Manager,Lucknow,1985-08-21,443210.71
Krishna Verma,Sales Manager,Mumbai,1978-06-25,969422.69
Vihaan Verma,Treasury Analyst,Delhi,1976-07-27,1940128.43
Sai Khan,Customer Support,Kolkata,1988-06-03,1392523.21
Krishna Gupta,Business Analyst,Lucknow,1992-03-23,1154429.09
Reyansh Mehta,Security Engineer,Delhi,1994-12-19,611560.84
Krishna Reddy,Marketing Manager,Hyderabad,1999-06-08,340969.05
Ishaan Patel,Blockchain Developer,Delhi,1983-12-04,1836299.49
Myra Desai,Security Engineer,Ahmedabad,1978-10-20,1710679.64
Isha Nair,Compliance Officer,Bengaluru,1983-11-14,1343177.54
Aditya Patel,Data Analyst,Pune,1997-06-28,1128053.06
Vihaan Reddy,Data Scientist,Chennai,1984-01-30,436056.24
Isha Desai,Compliance Officer,Lucknow,1996-06-26,1363418.93
Arjun Desai,Financial Analyst,Ahmedabad,1985-01-29,1069322.39
Saanvi Bhat,Risk Analyst,Hyderabad,1985-10-07,1513021.23
Diya Desai,Marketing Manager,Ahmedabad,1980-09-05,1243560.93
Arjun Chopra,Treasury Analyst,Bengaluru,1991-04-25,1507283.59
Avni Khan,Business Analyst,Hyderabad,1977-11-16,1875290.4
Vihaan Garg,Sales Manager,Jaipur,1986-08-12,403990.23
Diya Bhat,Security Engineer,Pune,1994-01-23,1152589.39
Sai Desai,DevOps Engineer,Bengaluru,1994-08-25,1246312.4
Vihaan Reddy,QA Engineer,Hyderabad,1985-02-08,1039818.46
Shaurya Joshi,Relationship Manager,Mumbai,1995-01-15,1703490.23
Vihaan Desai,Customer Support,Pune,1992-12-01,1785167.47
Aadhya Singh,Sales Manager,Pune,1984-05-24,849227.01
Isha Desai,Software Engineer,Chennai,1988-12-22,667541.44
Ananya Banerjee,Data Analyst,Mumbai,1996-04-07,911824.83
Shaurya Joshi,Marketing Manager,Kolkata,1987-12-21,865704.81
Ishaan Singh,Business Analyst,Chennai,1981-11-25,1858162.08
Isha Singh,Financial Analyst,Delhi,1994-10-22,1386670.96
Arjun Garg,Product Manager,Hyderabad,1977-09-17,1447037.81
Myra Gupta,QA Engineer,Lucknow,1982-10-12,865633.34
Reyansh Saxena,Security Engineer,Bengaluru,1992-10-09,1064443.02
Ishaan Singh,Relationship Manager,Kolkata,1998-05-14,1673343.38
Isha Sharma,Customer Support,Kolkata,1991-12-07,1502270.01
Ishaan Singh,Data Scientist,Delhi,1975-05-28,1675521.46
Aditya Saxena,HR Manager,Ahmedabad,1981-08-27,745459.27
Saanvi Bhat,UX Designer,Delhi,1980-10-25,685364.51
Aditya Kapoor,Marketing Manager,Lucknow,1979-10-19,1641119.13
Avni Chopra,Financial Analyst,Hyderabad,1990-07-25,1098952.83
Saanvi Malhotra,Customer Support,Lucknow,1995-05-31,1430154.39
Arjun Mehta,Sales Manager,Bengaluru,1985-08-27,1258070.34
Vivaan Chowdhury,Blockchain Developer,Jaipur,1982-09-21,1349620.28
Ananya Iyer,Product Manager,Chennai,1982-07-13,1641718.19
Aadhya Kapoor,Risk Analyst,Jaipur,1991-07-10,1833641.2
Saanvi Nair,Risk Analyst,Lucknow,1982-09-11,1809813.11
Myra Garg,Blockchain Developer,Lucknow,1989-05-09,1947873.28
Diya Iyer,Sales Manager,Jaipur,1977-05-24,1333935.56
Shaurya Chopra,Compliance Officer,Lucknow,1998-03-26,368244.88
Shaurya Singh,Data Scientist,Jaipur,1979-05-02,1803057.99
Vivaan Saxena,Risk Analyst,Lucknow,1996-07-25,1596298.88
Saanvi Banerjee,Credit Officer,Pune,1978-10-20,1872784.84
Vivaan Verma,Credit Officer,Bengaluru,1986-04-27,1643988.07
Saanvi Gupta,QA Engineer,Bengaluru,1998-08-31,1333187.28
Diya Nair,Relationship Manager,Delhi,1988-11-24,1416536.32
Vihaan Chopra,Relationship Manager,Mumbai,1996-03-28,1938308.68
Ananya Khan,QA Engineer,Mumbai,1994-03-30,687174.91
Avni Chowdhury,Credit Officer,Delhi,1994-03-28,589221.29
Krishna Nair,UX Designer,Mumbai,1995-08-16,1477253.1
Prisha Chopra,Data Analyst,Lucknow,1981-03-18,1438958.04
Krishna Iyer,Financial Analyst,Ahmedabad,1984-02-29,1507078.74
Avni Reddy,Data Analyst,Pune,1995-01-29,400948.72
